Latitude,Longitude,Depth(m),E1,E2,PeakSV,Time(UTC),"Track Name"
48.6399828737294,17.2872798164013,0.00,-1.000,-1.000,-1.000,2020-03-19T12:44:11,"Chart 19_03_2020 [0]"
48.6399828737294,17.2872978431472,0.00,208.354,208.354,228.496,2020-03-19T12:44:21,"Chart 19_03_2020 [0]"
48.6400007415192,17.2872978431472,0.00,206.617,206.617,228.433,2020-03-19T12:44:28,"Chart 19_03_2020 [0]"
48.6400007415192,17.2873158698932,0.83,117.930,107.389,207.545,2020-03-19T12:44:33,"Chart 19_03_2020 [0]"
48.6400007415192,17.2872978431472,1.05,36.369,11.671,184.858,2020-03-19T12:44:36,"Chart 19_03_2020 [0]"
48.6400186093026,17.2872978431472,1.21,44.378,18.570,180.240,2020-03-19T12:44:39,"Chart 19_03_2020 [0]"
48.6400186093026,17.2872798164013,1.08,43.456,24.957,171.757,2020-03-19T12:44:42,"Chart 19_03_2020 [0]"
48.6400305211547,17.2872798164013,1.00,34.731,21.083,163.171,2020-03-19T12:44:44,"Chart 19_03_2020 [0]"
48.6400305211547,17.2872708030283,0.87,24.683,12.104,158.514,2020-03-19T12:44:45,"Chart 19_03_2020 [0]"
48.6400483889276,17.2872708030283,0.74,12.538,4.442,166.060,2020-03-19T12:44:48,"Chart 19_03_2020 [0]"
48.6400483889276,17.2872527762824,0.64,3.717,0.311,182.780,2020-03-19T12:44:49,"Chart 19_03_2020 [0]"
48.6400662566941,17.2872527762824,0.65,3.781,0.072,186.119,2020-03-19T12:44:51,"Chart 19_03_2020 [0]"
48.6400841244544,17.2872527762824,0.68,18.258,5.676,185.944,2020-03-19T12:44:54,"Chart 19_03_2020 [0]"
48.6400841244544,17.2872347495364,0.81,35.928,12.230,191.148,2020-03-19T12:44:55,"Chart 19_03_2020 [0]"
48.6401019922083,17.2872347495364,0.88,38.922,13.803,190.415,2020-03-19T12:44:56,"Chart 19_03_2020 [0]"
48.6401139040407,17.2872347495364,0.85,38.064,17.809,186.010,2020-03-19T12:44:58,"Chart 19_03_2020 [0]"
48.640131771784,17.2872347495364,0.77,27.654,12.851,176.987,2020-03-19T12:45:00,"Chart 19_03_2020 [0]"
